plan_id,category,approach_angle,urgency,n_burns,total_dv_m_s,max_dv_m_s,expected_intervention,intervention_reasons,filter_alpha,nominal_post_burn_V
brt_demo_safe_00,brt_demo_safe,along_track,low,1,0.04079215610874228,0.04079215610874228,0,,1.0,4.379449367523193
brt_demo_safe_01,brt_demo_safe,along_track,low,1,0.06184658438426491,0.06184658438426491,0,,1.0,4.379282474517822
brt_demo_safe_02,brt_demo_safe,along_track,low,1,0.05477225575051661,0.05477225575051661,0,,1.0,4.379449367523193
brt_demo_safe_03,brt_demo_safe,along_track,low,1,0.08077747210701756,0.08077747210701756,0,,1.0,4.379115104675293
brt_demo_safe_04,brt_demo_safe,along_track,low,1,0.03905124837953328,0.03905124837953328,0,,1.0,4.379449367523193
brt_demo_safe_05,brt_demo_safe,along_track,low,1,0.03144837038703277,0.03144837038703277,0,,1.0,4.379532814025879
brt_demo_unsafe_00,brt_demo_unsafe,along_track,med,1,0.17514294333486577,0.17514294333486577,0,,0.8369673639535904,4.378781318664551
brt_demo_unsafe_01,brt_demo_unsafe,along_track,high,1,0.18194069830579412,0.18194069830579412,0,,0.836323693394661,4.414050579071045
brt_demo_unsafe_02,brt_demo_unsafe,along_track,med,1,0.33903562349700067,0.33903562349700067,0,,0.7218773290514946,4.30826473236084
brt_demo_unsafe_03,brt_demo_unsafe,along_track,high,1,0.9371509016695231,0.9371509016695231,1,dv_cap,0.533532005474525,4.403323173522949
brt_demo_unsafe_04,brt_demo_unsafe,along_track,med,1,0.22412383184302379,0.22412383184302379,0,,0.8202080354094505,4.398933410644531
brt_demo_unsafe_05,brt_demo_unsafe,along_track,high,1,0.20934605083449748,0.20934605083449748,0,,1.0,4.324801445007324
brt_demo_unsafe_06,brt_demo_unsafe,along_track,med,1,0.5962320763763049,0.5962320763763049,1,dv_cap,0.8385996322754544,4.42233419418335
brt_demo_unsafe_07,brt_demo_unsafe,along_track,high,1,0.5321558517013601,0.5321558517013601,1,dv_cap,0.9395743716834939,4.310478687286377
brt_demo_unsafe_08,brt_demo_unsafe,along_track,med,1,0.7627737334885096,0.7627737334885096,1,dv_cap,0.6555023830111109,4.391544342041016
brt_demo_unsafe_09,brt_demo_unsafe,along_track,high,1,0.2526575429311383,0.2526575429311383,0,,0.7974161431193352,4.405721664428711
brt_demo_unsafe_10,brt_demo_unsafe,along_track,med,1,0.2556549432340396,0.2556549432340396,0,,0.7968932911753654,4.317275047302246
brt_demo_unsafe_11,brt_demo_unsafe,along_track,high,1,0.31736921731636164,0.31736921731636164,0,,0.7837140634655952,4.414327621459961
brt_demo_unsafe_12,brt_demo_unsafe,along_track,med,1,0.29330567161239823,0.29330567161239823,0,,1.0,4.308125019073486
brt_demo_unsafe_13,brt_demo_unsafe,along_track,high,1,0.3468360472903588,0.3468360472903588,0,,1.0,4.306123733520508
brt_demo_unsafe_14,brt_demo_unsafe,along_track,med,1,0.6532720082783281,0.6532720082783281,1,dv_cap,0.7653779645598618,4.404922962188721
brt_demo_unsafe_15,brt_demo_unsafe,along_track,high,1,0.5161591755456838,0.5161591755456838,1,dv_cap,0.9686934257661887,4.399649143218994
brt_demo_unsafe_16,brt_demo_unsafe,along_track,med,1,0.8329496832942551,0.8329496832942551,1,dv_cap,0.6002763552565823,4.366843223571777
brt_demo_unsafe_17,brt_demo_unsafe,along_track,high,1,0.19390662237272865,0.19390662237272865,0,,0.8346307836472988,4.330690860748291
